X	Y
0001.9396501541	0000.0000000000
0000.2376693860	0000.0000000000
0001.5709295519	0000.0000000000
0001.5990074061	0000.0000000000
0000.4955050866	0000.0000000000
0000.6831239784	0000.0000000000
0001.4216309776	0000.0000000000
0000.6427102795	0000.0000000000
0002.3294666599	0000.0000000000
0001.1210236944	0000.0000000000
0001.5508839072	0000.0000000000
0002.3546713841	0000.0000000000
0000.8931264103	0000.0000000000
0001.0347988224	0000.0000000000
0001.9972968306	0000.0000000000
0001.8928241313	0000.0000000000
0001.1675955571	0000.0000000000
0002.2481795839	0000.0000000000
0001.8535864867	0000.0000000000
0002.0830120058	0000.0000000000
0001.8656369126	0000.0000000000
0002.0969349559	0000.0000000000
0001.8220131617	0000.0000000000
0002.3702006189	0000.0000000000
