X	Y
0001.9394669252	0000.0000000000
0000.2380066573	0000.0000000000
0001.5701214987	0000.0000000000
0001.5995030088	0000.0000000000
0000.4925192093	0000.0000000000
0000.6841047197	0000.0000000000
0001.4226196900	0000.0000000000
0000.6427102795	0000.0000000000
0002.3294666599	0000.0000000000
0001.1210236944	0000.0000000000
0001.5508767248	0000.0000000000
0002.3546713841	0000.0000000000
0000.8931264103	0000.0000000000
0001.0347988224	0000.0000000000
0001.9972968306	0000.0000000000
0001.8928241313	0000.0000000000
0001.1675955571	0000.0000000000
0002.2481795839	0000.0000000000
0001.8535864867	0000.0000000000
0002.0830120058	0000.0000000000
0001.8656369126	0000.0000000000
0002.0969349559	0000.0000000000
0001.8220131617	0000.0000000000
0002.3702006189	0000.0000000000
